name,blurb,goal,slug,disable_communication,country,deadline,state_changed_at,created_at,launched_at,staff_pick,backers_count,category,urls,deadline_weekday,state_changed_at_weekday,created_at_weekday,launched_at_weekday,deadline_month,deadline_day,deadline_hr,state_changed_at_month,state_changed_at_day,state_changed_at_hr,created_at_month,created_at_day,created_at_hr,launched_at_month,launched_at_day,launched_at_hr,create_to_launch,launch_to_deadline,launch_to_state_change,create_to_launch_days,launch_to_deadline_days,launch_to_state_change_days,SuccessfulBool,USorGB,TOPCOUNTRY,LaunchedTuesday,DeadlineWeekend
HONING H312 CNC Mill,"The HONING H312 - A desktop CNC mill, built with alloys in mind.",65000.0,honing-h312-cnc-mill,False,US,3/3/2016 9:30,3/3/2016 9:30,12/4/2015 8:25,2/1/2016 9:30,False,24,,"{""web"":{""project"":""https://www.kickstarter.com/projects/honingh312/honing-h312-cnc-mill?ref=category"",""rewards"":""https://www.kickstarter.com/projects/honingh312/honing-h312-cnc-mill/rewards""}}",Thursday,Thursday,Friday,Monday,3,3,9,3,3,9,12,4,8,2,1,9,59 days 01:04:54.000000000,31 days 00:00:00.000000000,31 days 00:00:16.000000000,59,31,31,0,1,1,0,0
"Shareflo: Rent or Buy, Things Nearby",Shareflo is a technology company that streamlines hyperlocal ecommerce; mobile platform that allows anyone to rent or buy things nearby,20000.0,shareflo-rent-or-buy-things-nearby,False,US,7/28/2016 9:00,7/28/2016 9:00,6/25/2016 12:33,6/28/2016 9:00,False,1,Apps,"{""web"":{""project"":""https://www.kickstarter.com/projects/1996875480/shareflo-rent-or-buy-things-nearby?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1996875480/shareflo-rent-or-buy-things-nearby/rewards""}}",Thursday,Thursday,Saturday,Tuesday,7,28,9,7,28,9,6,25,12,6,28,9,2 days 20:27:29.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,2,30,30,0,1,1,1,0
Vessels VR: An Educational Virtual Reality Experience,"An Oculus Rift application that takes the user on an educational virtual tour of the heart, veins and arteries.",2300.0,vessels-vr-an-educational-virtual-reality-experien,False,CA,12/19/2014 18:08,12/19/2014 18:08,11/19/2014 14:31,11/19/2014 18:08,False,38,Apps,"{""web"":{""project"":""https://www.kickstarter.com/projects/vessels/vessels-vr-an-educational-virtual-reality-experien?ref=category"",""rewards"":""https://www.kickstarter.com/projects/vessels/vessels-vr-an-educational-virtual-reality-experien/rewards""}}",Friday,Friday,Wednesday,Wednesday,12,19,18,12,19,18,11,19,14,11,19,18,0 days 03:36:24.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,0,30,30,1,0,0,0,0
BACPAQ - Charge your cell phone anywhere. No plug-in.,"The BACPAQ Duo Case is the first of its kind, two-part detachable phone case and Qi Charger that charges anywhere, wirelessly.",35000.0,bacpaq-charge-your-cell-phone-anywhere-no-plug-in,False,US,10/30/2015 13:32,10/30/2015 13:32,7/1/2015 19:52,8/31/2015 13:32,False,5,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/1596991594/bacpaq-charge-your-cell-phone-anywhere-no-plug-in?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1596991594/bacpaq-charge-your-cell-phone-anywhere-no-plug-in/rewards""}}",Friday,Friday,Wednesday,Monday,10,30,13,10,30,13,7,1,19,8,31,13,60 days 17:39:48.000000000,60 days 00:00:00.000000000,60 days 00:00:00.000000000,60,60,60,0,1,1,0,0
"Make Robb Esperat's Album Happen!! Seriously, PLEASE!!","A kickstarter is all that separates us from having Robb's amazing music, FOREVER. Show how much you love and support him, be generous!!",700.0,make-robb-esperats-album-happen-seriously-please,False,US,3/19/2012 18:00,3/19/2012 18:00,3/3/2012 18:03,3/5/2012 15:37,False,20,,"{""web"":{""project"":""https://www.kickstarter.com/projects/645901416/make-robb-esperats-album-happen-seriously-please?ref=category"",""rewards"":""https://www.kickstarter.com/projects/645901416/make-robb-esperats-album-happen-seriously-please/rewards""}}",Monday,Monday,Saturday,Monday,3,19,18,3,19,18,3,3,18,3,5,15,1 days 21:34:13.000000000,14 days 02:22:22.000000000,14 days 02:23:09.000000000,1,14,14,1,1,1,0,0
"ArreuG, a performance searching for wings to PerÃº.",Booking 8 international air flights from MÃ©xico to PerÃº in order to present our last theater piece at FITLA 2017.,50000.0,arreug-a-performance-searching-for-wings-to-peru,False,MX,1/26/2017 23:04,1/26/2017 23:04,12/2/2016 10:56,12/27/2016 23:04,False,24,Festivals,"{""web"":{""project"":""https://www.kickstarter.com/projects/1263843300/arreug-a-performance-searching-for-wings-to-peru?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1263843300/arreug-a-performance-searching-for-wings-to-peru/rewards""}}",Thursday,Thursday,Friday,Tuesday,1,26,23,1,26,23,12,2,10,12,27,23,25 days 12:08:34.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,25,30,30,1,0,1,1,0
Laika - Robotics for Raspberry Pi or other Computer Device,Powerful robotics control for your computer such as a Raspberry Pi or PC. Connect with USB and start with Scratch or Python.,7000.0,laika-raspberry-pi-robotics,False,GB,8/4/2013 17:12,8/4/2013 17:12,5/22/2013 9:50,7/5/2013 17:12,False,265,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/eightdog/laika-raspberry-pi-robotics?ref=category"",""rewards"":""https://www.kickstarter.com/projects/eightdog/laika-raspberry-pi-robotics/rewards""}}",Sunday,Sunday,Wednesday,Friday,8,4,17,8,4,17,5,22,9,7,5,17,44 days 07:21:48.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,44,30,30,1,1,1,0,1
Excel Production Planning & Manufacturing Control Planner,Excel Production Planning graphical intuitive 1 level of Bill of Materials look up & real time consumption. http://youtu.be/N8zEvxkxhcw,20000.0,excel-production-planning-and-manufacturing-contro,False,US,5/6/2015 4:38,5/6/2015 4:38,3/7/2015 3:47,3/7/2015 4:38,False,4,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/1854359364/excel-production-planning-and-manufacturing-contro?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1854359364/excel-production-planning-and-manufacturing-contro/rewards""}}",Wednesday,Wednesday,Saturday,Saturday,5,6,4,5,6,4,3,7,3,3,7,4,0 days 00:51:06.000000000,60 days 00:00:00.000000000,60 days 00:00:02.000000000,0,60,60,0,1,1,0,0
An App to Expand your Child's Vocabulary,Speech and Language Therapy treatment joins the land of apps. Parents can access games to expand vocabulary via their child's tablet.,12500.0,an-app-to-expand-your-childs-vocabulary,False,GB,3/17/2014 10:08,3/17/2014 10:09,1/5/2014 14:08,2/15/2014 10:08,False,3,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/1457169215/an-app-to-expand-your-childs-vocabulary?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1457169215/an-app-to-expand-your-childs-vocabulary/rewards""}}",Monday,Monday,Sunday,Saturday,3,17,10,3,17,10,1,5,14,2,15,10,40 days 19:59:51.000000000,30 days 00:00:00.000000000,30 days 00:00:25.000000000,40,30,30,0,1,1,0,0
INYOUREYES.TV,We are developing a multimedia website that allows people to experience the lives of others through their eyes.,8000.0,inyoureyestv,False,US,12/11/2015 11:42,12/11/2015 11:42,11/4/2015 17:17,11/11/2015 11:42,False,1,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/8356903/inyoureyestv?ref=category"",""rewards"":""https://www.kickstarter.com/projects/8356903/inyoureyestv/rewards""}}",Friday,Friday,Wednesday,Wednesday,12,11,11,12,11,11,11,4,17,11,11,11,6 days 18:25:22.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,6,30,30,0,1,1,0,0
Toughest UV and CPL Filters Using GorillaÂ® Glass,The toughest UV filters that can truly protect your camera lenses and high resolution CPL filters using GorillaÂ® Glass 3.,20000.0,gorilla-glass-based-uv-and-cpl-filters,False,US,8/6/2016 13:58,8/6/2016 13:58,4/11/2016 3:15,7/7/2016 13:58,False,114,,"{""web"":{""project"":""https://www.kickstarter.com/projects/aurora-aperture/gorilla-glass-based-uv-and-cpl-filters?ref=category"",""rewards"":""https://www.kickstarter.com/projects/aurora-aperture/gorilla-glass-based-uv-and-cpl-filters/rewards""}}",Saturday,Saturday,Monday,Thursday,8,6,13,8,6,13,4,11,3,7,7,13,87 days 10:43:51.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,87,30,30,0,1,1,0,1
12 Days of Charity,12 Days of Charity is a website that educates philanthropists on the charities worth their weight in giving.,10000.0,12-days-of-charity,False,US,4/21/2016 14:13,4/21/2016 14:13,2/17/2016 12:47,2/21/2016 14:13,False,5,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/12daysofcharity/12-days-of-charity?ref=category"",""rewards"":""https://www.kickstarter.com/projects/12daysofcharity/12-days-of-charity/rewards""}}",Thursday,Thursday,Wednesday,Sunday,4,21,14,4,21,14,2,17,12,2,21,14,4 days 01:26:18.000000000,60 days 00:00:00.000000000,60 days 00:00:00.000000000,4,60,60,0,1,1,0,0
CELLO: A smarter phone battery with security and a kickstand,A smartphone gadget that frees you from cables & keeps you charged; including security o-ring & adjustable kickstand for watching media,50000.0,cello-a-smarter-phone-battery-with-security-and-a,False,HK,3/7/2017 13:09,1/16/2017 13:09,1/1/2017 3:24,1/16/2017 13:09,False,97,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/169559662/cello-a-smarter-phone-battery-with-security-and-a?ref=category"",""rewards"":""https://www.kickstarter.com/projects/169559662/cello-a-smarter-phone-battery-with-security-and-a/rewards""}}",Tuesday,Monday,Sunday,Monday,3,7,13,1,16,13,1,1,3,1,16,13,15 days 09:44:28.000000000,50 days 00:00:00.000000000,0 days 00:00:01.000000000,15,50,0,0,0,1,0,0
An Arduino Form-factor MIDI Music Synthesizer,AvecSynth is an Arduino form-factor MIDI synthesizer that can be for embedded projects OR as a stand-alone MIDI music synthesizer.,1500.0,avecsynth-an-arduino-form-factor-midi-music-synthe,False,US,1/15/2012 17:00,1/15/2012 17:00,10/11/2011 16:01,12/16/2011 8:49,True,81,Sound,"{""web"":{""project"":""https://www.kickstarter.com/projects/24311020/avecsynth-an-arduino-form-factor-midi-music-synthe?ref=category"",""rewards"":""https://www.kickstarter.com/projects/24311020/avecsynth-an-arduino-form-factor-midi-music-synthe/rewards""}}",Sunday,Sunday,Tuesday,Friday,1,15,17,1,15,17,10,11,16,12,16,8,65 days 16:48:00.000000000,30 days 08:10:01.000000000,30 days 08:10:21.000000000,65,30,30,1,1,1,0,1
Space top: Alien Spinning Top (keywords)  Not  gyroscope,Space top is new type of spinning top able to play at any direction. Space top invention was merely based on a personal physics theory.,1.0,space-top-a-new-cousin-of-spinning-top-not-a-gyros,False,US,11/30/2015 11:51,11/30/2015 11:51,10/6/2015 22:28,11/10/2015 11:51,False,1,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/419602554/space-top-a-new-cousin-of-spinning-top-not-a-gyros?ref=category"",""rewards"":""https://www.kickstarter.com/projects/419602554/space-top-a-new-cousin-of-spinning-top-not-a-gyros/rewards""}}",Monday,Monday,Tuesday,Tuesday,11,30,11,11,30,11,10,6,22,11,10,11,34 days 13:22:59.000000000,20 days 00:00:00.000000000,20 days 00:00:01.000000000,34,20,20,1,1,1,1,0
mojoeâ¢ â The Coffee Maker That's a Travel Mug,"mojoeâ¢ is a travel mug-sized portable coffee maker that brews fresh coffee and tea on the go via car, wall, or rechargeable battery.",20000.0,mojoetm-the-travel-mug-that-is-a-coffee-maker,False,US,1/29/2016 19:00,1/29/2016 19:00,3/22/2015 12:20,12/14/2015 22:09,False,728,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/685155791/mojoetm-the-travel-mug-that-is-a-coffee-maker?ref=category"",""rewards"":""https://www.kickstarter.com/projects/685155791/mojoetm-the-travel-mug-that-is-a-coffee-maker/rewards""}}",Friday,Friday,Sunday,Monday,1,29,19,1,29,19,3,22,12,12,14,22,267 days 09:48:58.000000000,45 days 20:50:04.000000000,45 days 20:50:05.000000000,267,45,45,1,1,1,0,0
Student Created Godspell,"Students work to put together a show from start to finish. We will license, produce, direct, and act in Stephen Schwartz's Godspell.",750.0,student-created-godspell,False,US,2/24/2015 10:22,2/24/2015 10:22,12/28/2014 16:28,2/9/2015 10:22,False,20,Musical,"{""web"":{""project"":""https://www.kickstarter.com/projects/1417636431/student-created-godspell?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1417636431/student-created-godspell/rewards""}}",Tuesday,Tuesday,Sunday,Monday,2,24,10,2,24,10,12,28,16,2,9,10,42 days 17:54:09.000000000,15 days 00:00:00.000000000,15 days 00:00:00.000000000,42,15,15,1,1,1,0,0
Bundle Buds â Tangle-Free Earbuds,"Bundle Buds, truly tangle-free ear buds. Stylish design, with a focus on function & performance.",5000.0,bundle-buds-tangle-free-earbuds,False,US,11/21/2014 22:00,11/21/2014 22:00,8/2/2014 11:22,10/22/2014 9:41,False,99,Sound,"{""web"":{""project"":""https://www.kickstarter.com/projects/892023194/bundle-buds-tangle-free-earbuds?ref=category"",""rewards"":""https://www.kickstarter.com/projects/892023194/bundle-buds-tangle-free-earbuds/rewards""}}",Friday,Friday,Saturday,Wednesday,11,21,22,11,21,22,8,2,11,10,22,9,80 days 22:19:02.000000000,30 days 12:18:29.000000000,30 days 12:18:43.000000000,80,30,30,1,1,1,0,0
"Everydisk â Easily access all your computers, from anywhere.","An app for Mac or PC that gives you full, direct access to all your computers. Keep your data on machines you control.",50000.0,everydisk-easily-access-all-your-computers-from-an,False,US,1/25/2014 14:58,1/25/2014 14:58,12/19/2013 14:59,12/26/2013 14:58,True,655,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/avatron/everydisk-easily-access-all-your-computers-from-an?ref=category"",""rewards"":""https://www.kickstarter.com/projects/avatron/everydisk-easily-access-all-your-computers-from-an/rewards""}}",Saturday,Saturday,Thursday,Thursday,1,25,14,1,25,14,12,19,14,12,26,14,6 days 23:59:11.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,6,30,30,1,1,1,0,1
SmartMatrix - Dynamic LED Art Display and Music Visualizer,"SmartMatrix is a beautiful music visualizer, dynamic art display, video game art display, and more!",30000.0,smartmatrix-dynamic-led-art-display-and-music-visu,False,US,6/14/2015 23:00,6/14/2015 23:00,4/30/2014 21:34,5/16/2015 11:30,True,89,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/pixelmatix/smartmatrix-dynamic-led-art-display-and-music-visu?ref=category"",""rewards"":""https://www.kickstarter.com/projects/pixelmatix/smartmatrix-dynamic-led-art-display-and-music-visu/rewards""}}",Sunday,Sunday,Wednesday,Saturday,6,14,23,6,14,23,4,30,21,5,16,11,380 days 13:56:39.000000000,29 days 11:29:17.000000000,29 days 11:29:29.000000000,380,29,29,0,1,1,0,1
honest. The social enterprise digital/web/marketing agency.,"A new agency putting profits into children's coding clubs, small business courses, free charity websites and job-seeker opportunities.",5000.0,honest-the-social-enterprise-digital-web-marketing,False,GB,1/15/2015 18:00,1/15/2015 18:00,12/13/2014 6:14,12/30/2014 13:37,False,2,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1782478841/honest-the-social-enterprise-digital-web-marketing?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1782478841/honest-the-social-enterprise-digital-web-marketing/rewards""}}",Thursday,Thursday,Saturday,Tuesday,1,15,18,1,15,18,12,13,6,12,30,13,17 days 07:23:30.000000000,16 days 04:22:30.000000000,16 days 04:22:43.000000000,17,16,16,0,1,1,1,0
DataLinker - Easy Gateway Between Boat's Sensors and Mobile,Shares sailboat's sensor NMEA data using Bluetooth 4.0. Makes data available to mobiles while keeping the internet connection. Sailing.,20000.0,datalinker-easy-gateway-between-boats-sensors-and,False,NL,2/28/2016 16:00,2/28/2016 16:00,1/21/2016 1:37,1/27/2016 9:10,False,68,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/sailracer/datalinker-easy-gateway-between-boats-sensors-and?ref=category"",""rewards"":""https://www.kickstarter.com/projects/sailracer/datalinker-easy-gateway-between-boats-sensors-and/rewards""}}",Sunday,Sunday,Thursday,Wednesday,2,28,16,2,28,16,1,21,1,1,27,9,6 days 07:33:23.000000000,32 days 06:49:07.000000000,32 days 06:49:12.000000000,6,32,32,0,0,0,0,1
Buy Valle Piola,I want this city to advance the future in an old world city. and to breathe new life into it.,5000000.0,buy-valle-piola,False,US,6/12/2015 16:57,6/12/2015 16:57,4/11/2015 0:02,4/13/2015 16:57,False,0,Robots,"{""web"":{""project"":""https://www.kickstarter.com/projects/1891028777/buy-valle-piola?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1891028777/buy-valle-piola/rewards""}}",Friday,Friday,Saturday,Monday,6,12,16,6,12,16,4,11,0,4,13,16,2 days 16:55:30.000000000,60 days 00:00:00.000000000,60 days 00:00:01.000000000,2,60,60,0,1,1,0,0
"BoXZY Rapid-Change FabLab: Mill, Laser Engraver, 3D Printer","Rapidly transforms into 3 kinds of machines: CNC Mill, 3D Printer & Laser Engraver while enhancing precision & power with ballscrews",50000.0,boxzy-rapid-change-fablab-mill-laser-engraver-3d-p,False,US,4/18/2015 8:45,4/18/2015 8:45,10/16/2014 21:57,3/9/2015 8:45,True,630,,"{""web"":{""project"":""https://www.kickstarter.com/projects/boxzy/boxzy-rapid-change-fablab-mill-laser-engraver-3d-p?ref=category"",""rewards"":""https://www.kickstarter.com/projects/boxzy/boxzy-rapid-change-fablab-mill-laser-engraver-3d-p/rewards""}}",Saturday,Saturday,Thursday,Monday,4,18,8,4,18,8,10,16,21,3,9,8,143 days 10:48:06.000000000,40 days 00:00:00.000000000,40 days 00:00:02.000000000,143,40,40,1,1,1,0,1
DIY tiling tool- The tool that's as good as a tradesman,DIY TILING has never been easier. Watch the video and see just how easy it is. You will be hunting for tiling projects.,20000.0,diy-tiling-tool,False,AU,12/21/2014 17:59,12/21/2014 18:00,9/5/2014 22:02,10/22/2014 17:59,False,13,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/789559649/diy-tiling-tool?ref=category"",""rewards"":""https://www.kickstarter.com/projects/789559649/diy-tiling-tool/rewards""}}",Sunday,Sunday,Friday,Wednesday,12,21,17,12,21,18,9,5,22,10,22,17,46 days 19:57:00.000000000,60 days 00:00:00.000000000,60 days 00:00:57.000000000,46,60,60,0,0,0,0,1
ROAD DAWGG Guard against unwanted odors and freshen the air.,"Adorable, life-like, odor eliminating air fresheners, perfect substitutes for those obstructions hanging from your rear view mirror.",28700.0,road-dawgg-guard-against-unwanted-odors-and-freshe,False,US,9/29/2015 21:05,9/29/2015 21:05,8/27/2015 18:48,8/30/2015 21:05,False,12,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/464444404/road-dawgg-guard-against-unwanted-odors-and-freshe?ref=category"",""rewards"":""https://www.kickstarter.com/projects/464444404/road-dawgg-guard-against-unwanted-odors-and-freshe/rewards""}}",Tuesday,Tuesday,Thursday,Sunday,9,29,21,9,29,21,8,27,18,8,30,21,3 days 02:17:08.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,3,30,30,0,1,1,0,0
MicRig: Universal Video Grip Handle with Built-in Stereo Mic (Canceled),"The world's first universal video handle with an integrated microphone.

Professional audio for your smartphone, GoPro or DSLR camera.",45000.0,micrig-universal-video-grip-handle-with-built-in-s,False,US,2/18/2017 11:42,2/15/2017 15:42,11/30/2016 14:02,1/18/2017 11:42,False,476,,"{""web"":{""project"":""https://www.kickstarter.com/projects/movo-photo/micrig-universal-video-grip-handle-with-built-in-s?ref=category"",""rewards"":""https://www.kickstarter.com/projects/movo-photo/micrig-universal-video-grip-handle-with-built-in-s/rewards""}}",Saturday,Wednesday,Wednesday,Wednesday,2,18,11,2,15,15,11,30,14,1,18,11,48 days 21:40:04.000000000,31 days 00:00:00.000000000,28 days 03:59:49.000000000,48,31,28,0,1,1,0,1
"Direct Action Media Academy Inc Outreach - Raleigh, NC","Empower Dreams! We're entering our 2015 student film and going to the Cinequest Film Festival, Silicon Valley, CA.",7310.0,direct-action-media-academy-inc-outreach-raleigh-n,False,US,12/17/2014 19:00,12/17/2014 19:00,11/4/2014 10:21,11/17/2014 21:39,False,0,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/245838921/direct-action-media-academy-inc-outreach-raleigh-n?ref=category"",""rewards"":""https://www.kickstarter.com/projects/245838921/direct-action-media-academy-inc-outreach-raleigh-n/rewards""}}",Wednesday,Wednesday,Tuesday,Monday,12,17,19,12,17,19,11,4,10,11,17,21,13 days 11:17:29.000000000,29 days 21:20:48.000000000,29 days 21:21:00.000000000,13,29,29,0,1,1,0,0
PWRLNK - The Versatile Power Converter (Canceled),"Get the 5 Volt power your devices crave from just about any source: solar panels, batteries, laptop bricks, wall adapters.",35000.0,pwrlnk-the-versatile-power-converter,False,US,8/26/2014 15:00,8/25/2014 20:51,6/23/2014 20:33,7/25/2014 17:46,False,56,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/205568268/pwrlnk-the-versatile-power-converter?ref=category"",""rewards"":""https://www.kickstarter.com/projects/205568268/pwrlnk-the-versatile-power-converter/rewards""}}",Tuesday,Monday,Monday,Friday,8,26,15,8,25,20,6,23,20,7,25,17,31 days 21:13:28.000000000,31 days 21:13:30.000000000,31 days 03:05:16.000000000,31,31,31,0,1,1,0,0
Place of Lines: London,Exploring architectural features of London. A vision of hidden gems and a different viewpoint.,1575.0,place-of-lines-london,False,GB,4/9/2015 16:20,4/9/2015 16:20,11/12/2014 4:28,3/10/2015 16:20,False,0,Places,"{""web"":{""project"":""https://www.kickstarter.com/projects/laineapine/place-of-lines-london?ref=category"",""rewards"":""https://www.kickstarter.com/projects/laineapine/place-of-lines-london/rewards""}}",Thursday,Thursday,Wednesday,Tuesday,4,9,16,4,9,16,11,12,4,3,10,16,118 days 11:51:54.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,118,30,30,0,1,1,1,0
the equal turtles,our aim is to teach turtle to fly,10000.0,the-equal-turtles,False,GB,11/10/2014 7:10,11/10/2014 7:10,10/16/2014 6:05,10/16/2014 7:10,False,1,Flight,"{""web"":{""project"":""https://www.kickstarter.com/projects/955366705/the-equal-turtles?ref=category"",""rewards"":""https://www.kickstarter.com/projects/955366705/the-equal-turtles/rewards""}}",Monday,Monday,Thursday,Thursday,11,10,7,11,10,7,10,16,6,10,16,7,0 days 01:05:00.000000000,25 days 00:00:00.000000000,25 days 00:00:00.000000000,0,25,25,0,1,1,0,0
Learn Real SQL,"Learn to query a database using MySQL in a practical, strait forward way in order to advance your technical  and professional skills.",2500.0,learn-real-sql,False,US,8/23/2014 7:34,8/23/2014 7:34,5/23/2014 12:08,7/24/2014 7:34,False,14,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/1903320520/learn-real-sql?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1903320520/learn-real-sql/rewards""}}",Saturday,Saturday,Friday,Thursday,8,23,7,8,23,7,5,23,12,7,24,7,61 days 19:25:45.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,61,30,30,0,1,1,0,1
HoloGram Pyramid  (Pepper's Ghost *no mirrors/double blur),We have perfected the popular HoloGram Pyramid for your phone. No double blur issues or black mirrors! Specially coated clear polymer.,5.0,hologram-pyramid-peppers-ghost-no-mirrors-double-b,False,US,9/23/2015 10:45,9/23/2015 10:45,8/25/2015 15:00,9/9/2015 10:45,False,444,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/yatzco/hologram-pyramid-peppers-ghost-no-mirrors-double-b?ref=category"",""rewards"":""https://www.kickstarter.com/projects/yatzco/hologram-pyramid-peppers-ghost-no-mirrors-double-b/rewards""}}",Wednesday,Wednesday,Tuesday,Wednesday,9,23,10,9,23,10,8,25,15,9,9,10,14 days 19:45:10.000000000,14 days 00:00:00.000000000,14 days 00:00:00.000000000,14,14,14,1,1,1,0,0
World-Mart: A Musical Love Story-Spoof of Walmart & Musicals,"Rollicking, furiously-paced love story: hero rescues girl from distant planet's vast prison, returns to Earth, must escape Death Row 2X",5000.0,world-mart-a-musical-love-story-spoof-of-walmart-a,False,US,12/31/2015 0:42,12/31/2015 0:42,10/1/2015 2:51,12/6/2015 14:14,False,1,Musical,"{""web"":{""project"":""https://www.kickstarter.com/projects/lee-writer/world-mart-a-musical-love-story-spoof-of-walmart-a?ref=category"",""rewards"":""https://www.kickstarter.com/projects/lee-writer/world-mart-a-musical-love-story-spoof-of-walmart-a/rewards""}}",Thursday,Thursday,Thursday,Sunday,12,31,0,12,31,0,10,1,2,12,6,14,66 days 11:23:12.000000000,24 days 10:27:47.000000000,24 days 10:27:50.000000000,66,24,24,0,1,1,0,0
Learn Nicaragua,"My project is to create a website with information about culture, nature, people and traditions of the 17 small states of Nicaragua.",3000.0,learn-nicaragua,False,US,3/27/2015 14:42,3/27/2015 14:42,2/10/2015 14:04,2/25/2015 14:42,False,0,Places,"{""web"":{""project"":""https://www.kickstarter.com/projects/1671735033/learn-nicaragua?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1671735033/learn-nicaragua/rewards""}}",Friday,Friday,Tuesday,Wednesday,3,27,14,3,27,14,2,10,14,2,25,14,15 days 00:38:45.000000000,30 days 00:00:00.000000000,30 days 00:00:03.000000000,15,30,30,0,1,1,0,0
BOOMPHONES: World's Most Advanced Headphone Speaker Hybrid,Transform your hi-fi headphones into a portable speaker and get even louder with two extra speakers built into the Active Speaker Case,50000.0,boomphones-re-up-the-1st-headphone-with-active-spe,False,US,11/30/2016 14:28,11/30/2016 14:28,10/10/2016 12:19,10/26/2016 14:28,False,168,Sound,"{""web"":{""project"":""https://www.kickstarter.com/projects/418164270/boomphones-re-up-the-1st-headphone-with-active-spe?ref=category"",""rewards"":""https://www.kickstarter.com/projects/418164270/boomphones-re-up-the-1st-headphone-with-active-spe/rewards""}}",Wednesday,Wednesday,Monday,Wednesday,11,30,14,11,30,14,10,10,12,10,26,14,16 days 02:08:25.000000000,35 days 00:00:00.000000000,35 days 00:00:14.000000000,16,35,35,0,1,1,0,0
FLYBi - A Drone that takes you to an Aerial Adventure,A Drone that takes you to an Aerial Adventure. Snap on FLYBi Goggles and take off the ground without ever leaving it.,50000.0,flybi-first-drone-with-virtual-reality-goggles,False,US,1/24/2016 16:03,12/30/2015 14:23,10/21/2015 15:19,12/15/2015 16:03,False,126,Flight,"{""web"":{""project"":""https://www.kickstarter.com/projects/advancerobotix/flybi-first-drone-with-virtual-reality-goggles?ref=category"",""rewards"":""https://www.kickstarter.com/projects/advancerobotix/flybi-first-drone-with-virtual-reality-goggles/rewards""}}",Sunday,Wednesday,Wednesday,Tuesday,1,24,16,12,30,14,10,21,15,12,15,16,55 days 00:43:56.000000000,40 days 00:00:00.000000000,14 days 22:19:58.000000000,55,40,14,0,1,1,1,1
Banana Shuttle,"Welcome to Banana Shuttle! Share a thought, streaming, with everyone.",3500.0,banana-shuttle,False,IT,10/29/2016 9:51,10/29/2016 9:51,9/28/2016 11:59,9/29/2016 9:51,False,2,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/523650267/banana-shuttle?ref=category"",""rewards"":""https://www.kickstarter.com/projects/523650267/banana-shuttle/rewards""}}",Saturday,Saturday,Wednesday,Thursday,10,29,9,10,29,9,9,28,11,9,29,9,0 days 21:52:04.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,0,30,30,0,0,0,0,1
